Item,Binomial (Alphabetical),word1,word2,Sentence (alphabetical),Sentence (nonalphabetical),Prime (alphabetical),Prime (nonalphabetical),Prime (unrelated),Questions
143,body and mind,body,mind,Seth wanted to relax both his body and mind before taking the final.,Seth wanted to relax both his mind and body before taking the final.,test sentence,test sentence2,Stimuli/all_parts_combined_The_shop_closes_up_for_the_night_.wav,placeholder question
144,body and mind,body,mind,She talked about the importance of keeping your body and mind super healthy and strong.,She talked about the importance of keeping your mind and body super healthy and strong.,test sentence,test sentence2,Stimuli/all_parts_combined_The_clothes_were_drying_in_the_sun_.wav,placeholder question
145,bombers and missiles,bombers,missiles,"During the war, the bombers and missiles caused a lot of destruction.","During the war, the missiles and bombers caused a lot of destruction.",test sentence,test sentence2,Stimuli/all_parts_combined_She_stepped_up_to_the_podium_to_give_her_speech_.wav,placeholder question
146,bone and flesh,bone,flesh,"After a hard fall, you could see the bone and flesh of the basketball player's leg.","After a hard fall, you could see the flesh and bone of the basketball player's leg.",test sentence,test sentence2,Stimuli/all_parts_combined_The_balloon_exploded_with_a_loud_pop_.wav,placeholder question
147,bone and muscle,bone,muscle,The doctor studied the bone and muscle of the patient's injured leg.,The doctor studied the muscle and bone of the patient's injured leg.,test sentence,test sentence2,Stimuli/all_parts_combined_He_decided_to_hit_up_his_old_friend_to_see_if_he_wanted_to_hang_out_.wav,placeholder question
148,bones and skulls,bones,skulls,Scientists study the bones and skulls of long-extinct animal species.,Scientists study the skulls and bones of long-extinct animal species.,test sentence,test sentence2,Stimuli/all_parts_combined_They_found_buried_treasure_in_the_backyard_.wav,placeholder question
149,boots and jacket,boots,jacket,"On a trip to the mountains, Jane forgot her boots and jacket at home, so she had to make a trip to the mall.","On a trip to the mountains, Jane forgot her jacket and boots at home, so she had to make a trip to the mall.",test sentence,test sentence2,Stimuli/all_parts_combined_He_held_up_the_traffic_with_his_car_accident_.wav,placeholder question
150,boots and shoes,boots,shoes,My suitcase was full of boots and shoes which made it exceed the weight limit.,My suitcase was full of shoes and boots which made it exceed the weight limit.,test sentence,test sentence2,Stimuli/all_parts_combined_The_bird_flew_to_its_nest_in_the_tree_.wav,placeholder question
151,boredom and loneliness,boredom,loneliness,Chloe experienced boredom and loneliness over the summer because she missed her college friends.,Chloe experienced loneliness and boredom over the summer because she missed her college friends.,test sentence,test sentence2,Stimuli/all_parts_combined_They_proceeded_up_the_stairs_to_the_next_floor_.wav,placeholder question
152,boulders and ledges,boulders,ledges,Paula climbed boulders and ledges with her friend Chris.,Paula climbed ledges and boulders with her friend Chris.,test sentence,test sentence2,Stimuli/all_parts_combined_She_typed_the_report_on_her_computer_.wav,placeholder question
153,bouquets and wreaths,bouquets,wreaths,"At certain times of year, bouquets and wreaths are often gifted to neighbors as tokens of appreciation.","At certain times of year, wreaths and bouquets are often gifted to neighbors as tokens of appreciation.",test sentence,test sentence2,Stimuli/all_parts_combined_They_rigged_up_a_makeshift_tent_in_the_woods_.wav,placeholder question
154,bourbon and water,bourbon,water,All the bar had to drink was bourbon and water so they decided to try another place.,All the bar had to drink was water and bourbon so they decided to try another place.,test sentence,test sentence2,Stimuli/all_parts_combined_He_angrily_shredded_the_letter_.wav,placeholder question
155,boys and girls,boys,girls,The teacher separated the boys and girls into two groups.,The teacher separated the girls and boys into two groups.,test sentence,test sentence2,Stimuli/all_parts_combined_She_cooked_up_a_delicious_meal_for_her_guests_.wav,placeholder question
156,boys and men,boys,men,There were a lot of boys and men at the park today.,There were a lot of men and boys at the park today.,test sentence,test sentence2,Stimuli/all_parts_combined_He_felt_the_fabric_to_check_its_texture_.wav,placeholder question
157,brain and intelligence,brain,intelligence,The committee admired the applicant's brain and intelligence so much that they decided to award her the prize.,The committee admired the applicant's intelligence and brain so much that they decided to award her the prize.,test sentence,test sentence2,Stimuli/all_parts_combined_They_drank_up_all_the_water_in_the_bottle_.wav,placeholder question
158,brains and talent,brains,talent,Georgina had both the brains and talent to be successful at her job.,Georgina had both the talent and brains to be successful at her job.,test sentence,test sentence2,Stimuli/all_parts_combined_Investors_often_sell_shares_of_companies_beyond_reason_.wav,placeholder question
159,bread and butter,bread,butter,Brent likes to eat bread and butter for breakfast when he doesn't have a lot of time in the morning.,Brent likes to eat butter and bread for breakfast when he doesn't have a lot of time in the morning.,test sentence,test sentence2,Stimuli/all_parts_combined_A_press_up_is_one_of_Jim_s_favorite_exercises_.wav,placeholder question
160,bread and cheese,bread,cheese,Xavier brought bread and cheese to the potluck at the beach.,Xavier brought cheese and bread to the potluck at the beach.,test sentence,test sentence2,Stimuli/all_parts_combined_She_wanted_to_carry_the_heavy_boxes_to_the_attic_.wav,placeholder question
161,breakfast and dinner,breakfast,dinner,Molly decided that breakfast and dinner are her favorite meals of the day.,Molly decided that dinner and breakfast are her favorite meals of the day.,test sentence,test sentence2,Stimuli/all_parts_combined_The_goods_were_done_up_in_bundles_for_shipment_.wav,placeholder question
162,breakfast and luncheon,breakfast,luncheon,The conference had a breakfast and luncheon included on the itinerary.,The conference had a luncheon and breakfast included on the itinerary.,test sentence,test sentence2,Stimuli/all_parts_combined_They_re_making_a_new_fence_in_the_backyard_.wav,placeholder question
163,brick and glass,brick,glass,A lot of brick and glass was needed to finish building the house.,A lot of glass and brick was needed to finish building the house.,test sentence,test sentence2,Stimuli/all_parts_combined_She_s_typing_up_the_meeting_minutes_on_her_laptop_.wav,placeholder question
164,bride and groom,bride,groom,John showed me pictures of the bride and groom both dressed in blue.,John showed me pictures of the groom and bride both dressed in blue.,test sentence,test sentence2,Stimuli/all_parts_combined_He_assessed_his_opponent_before_the_match_.wav,placeholder question
165,bride and groom,bride,groom,"They had a long engagement, so the bride and groom were excited that it was finally their wedding day.","They had a long engagement, so the groom and bride were excited that it was finally their wedding day.",test sentence,test sentence2,Stimuli/all_parts_combined_She_sweeps_up_the_fallen_leaves_from_the_yard_.wav,placeholder question
166,bride and groom,bride,groom,"When the band played them a demo of the song they wanted, the bride and groom decided to look for a different one.","When the band played them a demo of the song they wanted, the groom and bride decided to look for a different one.",test sentence,test sentence2,Stimuli/all_parts_combined_People_annoyed_her__almost_tripping_them_both_by_how_close_they_were_.wav,placeholder question
167,bride and groom,bride,groom,I think that the bride and groom are very excited about the upcoming wedding.,I think that the groom and bride are very excited about the upcoming wedding.,test sentence,test sentence2,Stimuli/all_parts_combined_It_s_important_to_wear_your_jacket_when_going_outside_in_the_winter_.wav,placeholder question
168,brother and mother,brother,mother,Last week my brother and mother came to visit me in my new apartment.,Last week my mother and brother came to visit me in my new apartment.,test sentence,test sentence2,Stimuli/all_parts_combined_The_sink_is_plugged_up_and_needs_fixing_.wav,placeholder question
169,brother and sister,brother,sister,Paul wants to spend time with his brother and sister because he doesn't get to see them very often.,Paul wants to spend time with his sister and brother because he doesn't get to see them very often.,test sentence,test sentence2,Stimuli/all_parts_combined_She_s_feeling_the_fabric_to_assess_its_quality_.wav,placeholder question
170,brothers and sisters,brothers,sisters,"Andrew had always shared his room with his brothers and sisters, so he was excited to have a new roommate in college.","Andrew had always shared his room with his sisters and brothers, so he was excited to have a new roommate in college.",test sentence,test sentence2,Stimuli/all_parts_combined_The_tree_bent_up_in_the_strong_wind_.wav,placeholder question
171,brothers and sisters,brothers,sisters,I always love seeing my brothers and sisters when I go home for the holidays.,I always love seeing my sisters and brothers when I go home for the holidays.,test sentence,test sentence2,Stimuli/all_parts_combined_The_fish_swam_to_the_surface_of_the_pond_.wav,placeholder question
172,brothers and sisters,brothers,sisters,The oldest son in the large family was often overwhelmed by his brothers and sisters when he was made to babysit.,The oldest son in the large family was often overwhelmed by his sisters and brothers when he was made to babysit.,test sentence,test sentence2,Stimuli/all_parts_combined_She_oftens_wraps_up_the_gifts_with_colorful_paper_.wav,placeholder question
173,brothers and sisters,brothers,sisters,When we were younger my brothers and sisters wanted a Beagle puppy.,When we were younger my sisters and brothers wanted a Beagle puppy.,test sentence,test sentence2,Stimuli/all_parts_combined_She_shredded_the_paper_in_anger_.wav,placeholder question
174,brow and cheeks,brow,cheeks,Veronica wanted to buy some new makeup products to highlight her brow and cheeks for when she goes out.,Veronica wanted to buy some new makeup products to highlight her cheeks and brow for when she goes out.,test sentence,test sentence2,Stimuli/all_parts_combined_The_dog_fetched_up_the_ball_and_brought_it_back_.wav,placeholder question
175,brush and trees,brush,trees,Amanda loved all the brush and trees that surrounded her house.,Amanda loved all the trees and brush that surrounded her house.,test sentence,test sentence2,Stimuli/all_parts_combined_He_slid_down_the_slippery_slope_.wav,placeholder question
176,Burma and India,Burma,India,They talked about visiting Burma and India for their upcoming honeymoon.,They talked about visiting India and Burma for their upcoming honeymoon.,test sentence,test sentence2,Stimuli/all_parts_combined_They_penned_up_the_horses_in_the_stable_.wav,placeholder question
177,bushes and vines,bushes,vines,All of the bushes and vines in the backyard made Mandy very happy.,All of the vines and bushes in the backyard made Mandy very happy.,test sentence,test sentence2,Stimuli/all_parts_combined_They_re_meeting_up_at_the_cafe_for_a_chat_.wav,placeholder question
178,buy and sell,buy,sell,Caleb likes to buy and sell electronics on eBay as a hobby.,Caleb likes to sell and buy electronics on eBay as a hobby.,test sentence,test sentence2,Stimuli/all_parts_combined_He_marked_the_document_with_revisions_.wav,placeholder question
179,buy and sell,buy,sell,Consignment stores are a great way to both buy and sell old things.,Consignment stores are a great way to both sell and buy old things.,test sentence,test sentence2,Stimuli/all_parts_combined_She_dragged_up_a_chair_to_sit_at_the_table_.wav,placeholder question
180,buy and sell,buy,sell,I like to go to the local swap meet to buy and sell old records.,I like to go to the local swap meet to sell and buy old records.,test sentence,test sentence2,Stimuli/all_parts_combined_The_hot_water_made_the_windows_foggy_.wav,placeholder question
181,cakes and pies,cakes,pies,Hannah had a real sweet tooth for cakes and pies so she took up baking as a hobby.,Hannah had a real sweet tooth for pies and cakes so she took up baking as a hobby.,test sentence,test sentence2,Stimuli/all_parts_combined_They_geared_up_for_the_intense_competition_.wav,placeholder question
182,calluses and corns,calluses,corns,The grandmother had a lot of calluses and corns on her feet which made it difficult to walk.,The grandmother had a lot of corns and calluses on her feet which made it difficult to walk.,test sentence,test sentence2,Stimuli/all_parts_combined_He_reaches_to_grab_the_item_on_the_high_shelf_.wav,placeholder question
183,campfires and wildfires,campfires,wildfires,The ranger warned that proper containment was the only barrier between campfires and wildfires in this dry weather.,The ranger warned that proper containment was the only barrier between wildfires and campfires in this dry weather.,test sentence,test sentence2,Stimuli/all_parts_combined_They_remembered_old_memories_during_the_conversation_.wav,placeholder question
184,campfires and wildfires,campfires,wildfires,The rangers seemed to act like campfires and wildfires were the same thing.,The rangers seemed to act like wildfires and campfires were the same thing.,test sentence,test sentence2,Stimuli/all_parts_combined_He_said_that_the_price_keeps_fluctating__ranging_up_to_three_times_its_original_value_.wav,placeholder question
185,campfires and wildfires,campfires,wildfires,We encountered many campfires and wildfires on our hike through the wilderness last weekend.,We encountered many wildfires and campfires on our hike through the wilderness last weekend.,test sentence,test sentence2,Stimuli/all_parts_combined_The_athlete_was_leaping_to_reach_the_high_bar_.wav,placeholder question
186,candies and cookies,candies,cookies,Stephen's parents banned candies and cookies from the house because he kept getting cavities.,Stephen's parents banned cookies and candies from the house because he kept getting cavities.,test sentence,test sentence2,Stimuli/all_parts_combined_He_didn_t_know_what_to_do_to_shake_up_the_industry_.wav,placeholder question
187,captain and leader,captain,leader,The team thought of her as a captain and leader even though she didn't officially have the title.,The team thought of her as a leader and captain even though she didn't officially have the title.,test sentence,test sentence2,Stimuli/all_parts_combined_The_sink_was_clogged_with_food_scraps_.wav,placeholder question
188,cattle and horses,cattle,horses,"On the ranch, there are cattle and horses roaming around the green pastures.","On the ranch, there are horses and cattle roaming around the green pastures.",test sentence,test sentence2,Stimuli/all_parts_combined_They_re_hooking_up_the_new_TV_to_the_cable_box_.wav,placeholder question
189,cause and consequence,cause,consequence,Finn didn't want to think about the cause and consequence of him losing his job.,Finn didn't want to think about the consequence and cause of him losing his job.,test sentence,test sentence2,Stimuli/all_parts_combined_The_tension_started_to_mount_up_as_the_deadline_approached_.wav,placeholder question
190,cause and effect,cause,effect,"Ryan was uncertain about the cause and effect of inflation, so he did some research about it online.","Ryan was uncertain about the effect and cause of inflation, so he did some research about it online.",test sentence,test sentence2,Stimuli/all_parts_combined_It_s_important_to_buy_food_for_your_pantry_before_a_storm_.wav,placeholder question
191,ceiling and walls,ceiling,walls,The painter finished painting the ceiling and walls of all of the bedrooms.,The painter finished painting the walls and ceiling of all of the bedrooms.,test sentence,test sentence2,Stimuli/all_parts_combined_She_needed_to_tighten_up_the_screws_on_the_machine_.wav,placeholder question
192,celebration and ritual,celebration,ritual,The event was considered both a celebration and ritual by all who attended.,The event was considered both a ritual and celebration by all who attended.,test sentence,test sentence2,Stimuli/all_parts_combined_He_always_hangs_out_with_his_friends_after_a_long_absence_.wav,placeholder question
193,cents and dollars,cents,dollars,The boy brought his cents and dollars to the store to buy an ice cream cone.,The boy brought his dollars and cents to the store to buy an ice cream cone.,test sentence,test sentence2,Stimuli/all_parts_combined_They_re_using_the_remaining_paint_for_the_project_.wav,placeholder question
194,certainty and order,certainty,order,Jake liked the certainty and order that his job provided him.,Jake liked the order and certainty that his job provided him.,test sentence,test sentence2,Stimuli/all_parts_combined_He_thought_up_a_brilliant_idea_overnight_.wav,placeholder question
195,certainty and security,certainty,security,Trish appreciated the certainty and security that her job as a dentist provided.,Trish appreciated the security and certainty that her job as a dentist provided.,test sentence,test sentence2,Stimuli/all_parts_combined_The_fire_seemed_to_burn_everything_in_its_path_.wav,placeholder question
196,chair and table,chair,table,They noticed that the chair and table were knocked over after the earthquake.,They noticed that the table and chair were knocked over after the earthquake.,test sentence,test sentence2,Stimuli/all_parts_combined_He_wanted_to_buy_up_all_the_tickets_for_the_concert_.wav,placeholder question
197,chairs and sofas,chairs,sofas,The hoarder had many chairs and sofas in their living room.,The hoarder had many sofas and chairs in their living room.,test sentence,test sentence2,Stimuli/all_parts_combined_She_needs_to_write_a_detailed_report_of_the_incident_.wav,placeholder question
198,chairs and table,chairs,table,The event planner fixed the chairs and table to accommodate all of the wedding guests.,The event planner fixed the table and chairs to accommodate all of the wedding guests.,test sentence,test sentence2,Stimuli/all_parts_combined_He_needs_to_think_up_a_creative_solution_quickly_.wav,placeholder question
199,chanting and enchanting,chanting,enchanting,"At the wizard school, chanting and enchanting were very common occurrences.","At the wizard school, enchanting and chanting were very common occurrences.",test sentence,test sentence2,Stimuli/all_parts_combined_The_controversy_is_stirring_up_a_heated_debate_.wav,placeholder question
200,chanting and enchanting,chanting,enchanting,The apprentice left the wizard to do his chanting and enchanting in peace.,The apprentice left the wizard to do his enchanting and chanting in peace.,test sentence,test sentence2,Stimuli/all_parts_combined_They_re_always_talking_about_the_latest_news_and_gossip_.wav,placeholder question
201,chanting and enchanting,chanting,enchanting,The practice of chanting and enchanting was common in the cult Mary joined.,The practice of enchanting and chanting was common in the cult Mary joined.,test sentence,test sentence2,Stimuli/all_parts_combined_The_upperclass_students_led_the_school_s_prestigious_debate_team_to_victory_.wav,placeholder question
202,character and wisdom,character,wisdom,His mom's character and wisdom made her someone he would go to for advice.,His mom's wisdom and character made her someone he would go to for advice.,test sentence,test sentence2,Stimuli/all_parts_combined_She_put_the_photos_from_her_vacation_onto_social_media_for_everyone_to_see_.wav,placeholder question
203,characters and situations,characters,situations,Cheryl considered the characters and situations in the novel she was writing.,Cheryl considered the situations and characters in the novel she was writing.,test sentence,test sentence2,Stimuli/all_parts_combined_The_reuptake_of_neurotransmitters_in_the_brain_plays_a_crucial_role_in_regulating_mood_.wav,placeholder question
204,charm and variety,charm,variety,Anthony missed the charm and variety of living in a big city.,Anthony missed the variety and charm of living in a big city.,test sentence,test sentence2,Stimuli/all_parts_combined_The_integrity_of_his_character_was_evident_in_every_decision_he_made_.wav,placeholder question
205,charts and maps,charts,maps,Dr. Morganstern took out his charts and maps in order to document where he found the last fossil.,Dr. Morganstern took out his maps and charts in order to document where he found the last fossil.,test sentence,test sentence2,Stimuli/all_parts_combined_I_noticed_a_charming_walkup_building_with_a_vibrant_red_door_nestled_in_the_heart_of_the_city_.wav,placeholder question
206,chauffeurs and stewardesses,chauffeurs,stewardesses,The growth of the travel industry led to many openings for chauffeurs and stewardesses in the area.,The growth of the travel industry led to many openings for stewardesses and chauffeurs in the area.,test sentence,test sentence2,Stimuli/all_parts_combined_The_destruction_of_the_water_pipe_caused_a_flood_in_the_basement_.wav,placeholder question
207,chauffeurs and stewardesses,chauffeurs,stewardesses,The rich actress had many chauffeurs and stewardesses to wait on her.,The rich actress had many stewardesses and chauffeurs to wait on her.,test sentence,test sentence2,Stimuli/all_parts_combined_Known_for_his_honesty_and_integrity__he_was_regarded_as_an_upstanding_citizen_in_the_community_.wav,placeholder question
208,chauffeurs and stewardesses,chauffeurs,stewardesses,"When I met many chauffeurs and stewardesses at a party, I started questioning my job.","When I met many stewardesses and chauffeurs at a party, I started questioning my job.",test sentence,test sentence2,Stimuli/all_parts_combined_The_gust_of_wind_created_a_draft_that_lifted_the_kite_high_into_the_sky_.wav,placeholder question
209,checks and money,checks,money,Graham disliked handling checks and money so he decided not to run for treasurer of the club.,Graham disliked handling money and checks so he decided not to run for treasurer of the club.,test sentence,test sentence2,Stimuli/all_parts_combined_The_wedding_ceremony_marked_their_nuptial_union_and_celebration_of_love_.wav,placeholder question
210,cherries and llamas,cherries,llamas,"Even with all the other attractions, the cherries and llamas were my favorite parts of the farm visit.","Even with all the other attractions, the llamas and cherries were my favorite parts of the farm visit.",test sentence,test sentence2,Stimuli/all_parts_combined_The_collapse_of_the_two_companies_resulted_in_significant_changes_in_the_industry_.wav,placeholder question
211,cherries and llamas,cherries,llamas,The third grade class saw cherries and llamas at the state fair.,The third grade class saw llamas and cherries at the state fair.,test sentence,test sentence2,Stimuli/all_parts_combined_She_upbraided_her_colleagues_for_their_unprofessional_behavior_during_the_meeting_.wav,placeholder question
212,cherries and llamas,cherries,llamas,"When I was a kid, cherries and llamas were my favorite things.","When I was a kid, llamas and cherries were my favorite things.",test sentence,test sentence2,Stimuli/all_parts_combined_It_s_important_to_schedule_regular_physicals_to_maintain_good_health_.wav,placeholder question
213,chest and stomach,chest,stomach,Tom felt pain in both his chest and stomach so he decided to stay home from school.,Tom felt pain in both his stomach and chest so he decided to stay home from school.,test sentence,test sentence2,Stimuli/all_parts_combined_The_satellite_established_a_reliable_uplink_for_communication_with_the_space_station_.wav,placeholder question
214,child and husband,child,husband,Rachel lived with her child and husband in a small apartment in New York City.,Rachel lived with her husband and child in a small apartment in New York City.,test sentence,test sentence2,Stimuli/all_parts_combined_Hereafter__they_decided_to_embark_on_a_new_adventure_together_.wav,placeholder question
215,child and mother,child,mother,"After the birth, both child and mother were asleep in the hospital bed.","After the birth, both mother and child were asleep in the hospital bed.",test sentence,test sentence2,Stimuli/all_parts_combined_The_uncoupling_of_the_train_cars_caused_a_delay_in_the_transportation_system_.wav,placeholder question
216,child and mother,child,mother,Clarissa found the painting of a child and mother to be very moving.,Clarissa found the painting of a mother and child to be very moving.,NA,NA,NA,NA
217,child and mother,child,mother,The man went out of his way to help the child and mother who were looking lost at the airport.,The man went out of his way to help the mother and child who were looking lost at the airport.,NA,NA,NA,NA
218,child and wife,child,wife,Bill wanted to take his child and wife on a tropical vacation.,Bill wanted to take his wife and child on a tropical vacation.,NA,NA,NA,NA
219,childhood and infancy,childhood,infancy,The students watched a video on childhood and infancy in their human development class.,The students watched a video on infancy and childhood in their human development class.,NA,NA,NA,NA
220,choice and decision,choice,decision,It was her choice and decision to stay home for the summer instead of traveling through South America.,It was her decision and choice to stay home for the summer instead of traveling through South America.,NA,NA,NA,NA
221,chopping and sawing,chopping,sawing,It took a lot of chopping and sawing to remove the dead trees.,It took a lot of sawing and chopping to remove the dead trees.,NA,NA,NA,NA
222,Christmas and Easter,Christmas,Easter,The child decided that Christmas and Easter were her favorite holidays.,The child decided that Easter and Christmas were her favorite holidays.,NA,NA,NA,NA
223,chrome and glass,chrome,glass,The architect said that chrome and glass are his favorite materials to use in his designs.,The architect said that glass and chrome are his favorite materials to use in his designs.,NA,NA,NA,NA
224,church and community,church,community,Tim has said that his church and community are very important to him.,Tim has said that his community and church are very important to him.,NA,NA,NA,NA
225,church and graveyard,church,graveyard,The couple found out that the church and graveyard are right behind their new house.,The couple found out that the graveyard and church are right behind their new house.,NA,NA,NA,NA
226,church and state,church,state,Both the church and state agreed on the education reforms.,Both the state and church agreed on the education reforms.,NA,NA,NA,NA
227,church and state,church,state,Catherine was not surprised that tensions between church and state ran high during the election season.,Catherine was not surprised that tensions between state and church ran high during the election season.,NA,NA,NA,NA
228,church and state,church,state,There is a lot of debate about the separation of church and state is being interpreted too literally in today's society.,There is a lot of debate about the separation of state and church is being interpreted too literally in today's society.,NA,NA,NA,NA
229,city and country,city,country,Her love for her city and country made her want to get into politics.,Her love for her country and city made her want to get into politics.,NA,NA,NA,NA
230,city and county,city,county,The meeting had representatives from both the city and county to discuss policy changes.,The meeting had representatives from both the county and city to discuss policy changes.,NA,NA,NA,NA
231,city and state,city,state,He liked his city and state too much to move away.,He liked his state and city too much to move away.,NA,NA,NA,NA
232,clarity and precision,clarity,precision,Devin tried to achieve clarity and precision in everything he did.,Devin tried to achieve precision and clarity in everything he did.,NA,NA,NA,NA
233,classmates and friends,classmates,friends,We have been classmates and friends all the way from kindergarten to college.,We have been friends and classmates all the way from kindergarten to college.,NA,NA,NA,NA
234,clay and wax,clay,wax,"Jackie loved doing different crafts, so she had a lot of clay and wax readily available to her.","Jackie loved doing different crafts, so she had a lot of wax and clay readily available to her.",NA,NA,NA,NA
235,cliches and stereotypes,cliches,stereotypes,The movie had a lot of cliches and stereotypes but it was still one of Kim's favorites.,The movie had a lot of stereotypes and cliches but it was still one of Kim's favorites.,NA,NA,NA,NA
236,clippings and pictures,clippings,pictures,She used many clippings and pictures for the collage she was working on.,She used many pictures and clippings for the collage she was working on.,NA,NA,NA,NA
237,closets and drawers,closets,drawers,Ben needed a lot of closets and drawers to store all of his clothes.,Ben needed a lot of drawers and closets to store all of his clothes.,NA,NA,NA,NA
238,clothes and dishes,clothes,dishes,Molly needed to wash her clothes and dishes before leaving for her trip.,Molly needed to wash her dishes and clothes before leaving for her trip.,NA,NA,NA,NA
239,coat and hat,coat,hat,"Once she stepped through the door, she designated a spot for her coat and hat to be safely put away.","Once she stepped through the door, she designated a spot for her hat and coat to be safely put away.",NA,NA,NA,NA
240,cod and salmon,cod,salmon,He made sure the chef knew that cod and salmon are his sister's favorite types of fish.,He made sure the chef knew that salmon and cod are his sister's favorite types of fish.,NA,NA,NA,NA
241,coffee and sandwiches,coffee,sandwiches,The company had coffee and sandwiches catered for their employees.,The company had sandwiches and coffee catered for their employees.,NA,NA,NA,NA
242,coffee and toast,coffee,toast,Every morning Karen has coffee and toast for breakfast before school.,Every morning Karen has toast and coffee for breakfast before school.,NA,NA,NA,NA
243,college and school,college,school,Matt said that college and school are not worth his time.,Matt said that school and college are not worth his time.,NA,NA,NA,NA
244,college and university,college,university,Carlos talked about college and university with his school counselor.,Carlos talked about university and college with his school counselor.,NA,NA,NA,NA
245,color and imagery,color,imagery,She liked all of the color and imagery the artist used in their art.,She liked all of the imagery and color the artist used in their art.,NA,NA,NA,NA
246,color and light,color,light,Rob used a lot of color and light to make his photographs pop.,Rob used a lot of light and color to make his photographs pop.,NA,NA,NA,NA
247,color and scent,color,scent,Both the color and scent of the flowers made Terry happy.,Both the scent and color of the flowers made Terry happy.,NA,NA,NA,NA
248,color and texture,color,texture,Sarah was known for the color and texture she used in her paintings.,Sarah was known for the texture and color she used in her paintings.,NA,NA,NA,NA
249,colors and forms,colors,forms,They read a whole chapter on colors and forms in her art class.,They read a whole chapter on forms and colors in her art class.,NA,NA,NA,NA
250,comedy and humor,comedy,humor,Ricky was confused about the difference between comedy and humor until he looked it up online.,Ricky was confused about the difference between humor and comedy until he looked it up online.,NA,NA,NA,NA
251,comedy and satire,comedy,satire,Olivia enjoyed comedy and satire and made sure that everyone knew.,Olivia enjoyed satire and comedy and made sure that everyone knew.,NA,NA,NA,NA
252,comfort and companionship,comfort,companionship,He experienced comfort and companionship whenever he visited his Grandma.,He experienced companionship and comfort whenever he visited his Grandma.,NA,NA,NA,NA
253,comfort and ease,comfort,ease,"Her parents liked the comfort and ease of flying, so they flew to their friend's wedding.","Her parents liked the ease and comfort of flying, so they flew to their friend's wedding.",NA,NA,NA,NA
254,comings and goings,comings,goings,The school newspaper reported on the comings and goings of the student body.,The school newspaper reported on the goings and comings of the student body.,NA,NA,NA,NA
255,command and control,command,control,The eldest sibling wanted to command and control all of their younger siblings.,The eldest sibling wanted to control and command all of their younger siblings.,NA,NA,NA,NA
256,commands and statements,commands,statements,The employees didn't listen to the commands and statements of the rude boss.,The employees didn't listen to the statements and commands of the rude boss.,NA,NA,NA,NA
257,commercialism and materialism,commercialism,materialism,All of the commercialism and materialism in society makes Evan want to live off the grid.,All of the materialism and commercialism in society makes Evan want to live off the grid.,NA,NA,NA,NA
258,completeness and unity,completeness,unity,I often feel a sense of completeness and unity after completing a tedious group project.,I often feel a sense of unity and completeness after completing a tedious group project.,NA,NA,NA,NA
259,complexity and obscurity,complexity,obscurity,The student found that the complexity and obscurity of her research topic made the project difficult.,The student found that the obscurity and complexity of her research topic made the project difficult.,NA,NA,NA,NA
260,comprehension and control,comprehension,control,There was a lack of comprehension and control that made Stephanie feel uneasy.,There was a lack of control and comprehension that made Stephanie feel uneasy.,NA,NA,NA,NA
261,Concord and Lexington,Concord,Lexington,He used to live in both Concord and Lexington when he was a teenager.,He used to live in both Lexington and Concord when he was a teenager.,NA,NA,NA,NA
262,concrete and steel,concrete,steel,The company got a new shipment of concrete and steel for an upcoming project.,The company got a new shipment of steel and concrete for an upcoming project.,NA,NA,NA,NA
263,conduct and manners,conduct,manners,"At a job interview, your conduct and manners can matter as much as your qualifications.","At a job interview, your manners and conduct can matter as much as your qualifications.",NA,NA,NA,NA
264,confusion and congestion,confusion,congestion,The traffic caused confusion and congestion for the drivers on the busy highway.,The traffic caused congestion and confusion for the drivers on the busy highway.,NA,NA,NA,NA
265,confusion and fear,confusion,fear,They felt confusion and fear about what they would do after graduating.,They felt fear and confusion about what they would do after graduating.,NA,NA,NA,NA
266,confusion and turmoil,confusion,turmoil,Hannah felt confusion and turmoil after her mom gave her some unfortunate news.,Hannah felt turmoil and confusion after her mom gave her some unfortunate news.,NA,NA,NA,NA
267,confusions and contradictions,confusions,contradictions,All of the confusions and contradictions did not make Amy feel confident about the new rules.,All of the contradictions and confusions did not make Amy feel confident about the new rules.,NA,NA,NA,NA
268,conscience and religion,conscience,religion,Bree is reading a book about the relationship between conscience and religion in her book club.,Bree is reading a book about the relationship between religion and conscience in her book club.,NA,NA,NA,NA
269,contemporary and friend,contemporary,friend,I learned that my professor was a contemporary and friend of a famous poet.,I learned that my professor was a friend and contemporary of a famous poet.,NA,NA,NA,NA
270,contraction and dilation,contraction,dilation,Anna was confused about the difference between contraction and dilation so she talked to her doctor about it.,Anna was confused about the difference between dilation and contraction so she talked to her doctor about it.,NA,NA,NA,NA
271,control and growth,control,growth,The lack of control and growth that the position offered made Jerry want to find a new job.,The lack of growth and control that the position offered made Jerry want to find a new job.,NA,NA,NA,NA
272,control and intelligence,control,intelligence,Jason wanted to be known for his control and intelligence instead of being known for his temper.,Jason wanted to be known for his intelligence and control instead of being known for his temper.,NA,NA,NA,NA
273,coroners and senators,coroners,senators,He wondered why there were so many coroners and senators at the scientific conference.,He wondered why there were so many senators and coroners at the scientific conference.,NA,NA,NA,NA
